0,0,1759902015.8113134
1,0,1759902016.3616855
2,0,1759902016.9057255
3,0,1759902017.4616039
4,0,1759902018.000659
0,5,1759902018.5807917
1,5,1759902019.1296918
2,5,1759902019.6830394
3,5,1759902020.2539096
4,5,1759902020.7965553
0,10,1759902021.3313656
1,10,1759902021.878872
2,10,1759902022.4134634
3,10,1759902022.9629502
4,10,1759902023.5044296
0,15,1759902024.0576017
1,15,1759902024.6049206
2,15,1759902025.1627426
3,15,1759902025.7069094
4,15,1759902026.2497919
0,20,1759902026.80638
1,20,1759902027.359313
2,20,1759902027.9148555
3,20,1759902028.4639635
4,20,1759902029.047978
0,25,1759902029.612278
1,25,1759902030.1848552
2,25,1759902030.7463317
3,25,1759902031.3092513
4,25,1759902031.8756475
0,30,1759902032.441987
1,30,1759902033.0105839
2,30,1759902033.5975795
3,30,1759902034.1766346
4,30,1759902034.7476916
0,35,1759902035.326568
1,35,1759902035.9188237
2,35,1759902036.5523348
3,35,1759902037.2086546
4,35,1759902037.86339
0,40,1759902038.4841247
1,40,1759902039.1267838
2,40,1759902039.7648206
3,40,1759902040.3953822
4,40,1759902041.0342891
0,45,1759902041.6477315
1,45,1759902042.2763267
2,45,1759902042.8972783
3,45,1759902043.5334003
4,45,1759902044.1686747
0,50,1759902044.8043737
1,50,1759902045.4466004
2,50,1759902046.0804305
3,50,1759902046.712095
4,50,1759902047.3573537
0,55,1759902048.020228
1,55,1759902048.6862032
2,55,1759902049.3587854
3,55,1759902050.0239115
4,55,1759902050.693033
0,60,1759902051.387389
1,60,1759902052.1031034
2,60,1759902052.7873366
3,60,1759902053.4758928
4,60,1759902054.1737545
