0,0,1759902015.6207407
1,0,1759902016.1596673
2,0,1759902016.7096536
3,0,1759902017.2597513
4,0,1759902017.8104694
0,5,1759902018.3703775
1,5,1759902018.9283004
2,5,1759902019.4758458
3,5,1759902020.0320404
4,5,1759902020.6051593
0,10,1759902021.143153
1,10,1759902021.6776137
2,10,1759902022.225656
3,10,1759902022.7644997
4,10,1759902023.3134668
0,15,1759902023.8519437
1,15,1759902024.4072003
2,15,1759902024.956237
3,15,1759902025.5123746
4,15,1759902026.0567284
0,20,1759902026.5984426
1,20,1759902027.1557574
2,20,1759902027.7086716
3,20,1759902028.2650888
4,20,1759902028.815943
0,25,1759902029.3992932
1,25,1759902029.9601135
2,25,1759902030.5360494
3,25,1759902031.0974655
4,25,1759902031.658905
0,30,1759902032.226136
1,30,1759902032.7929137
2,30,1759902033.3632317
3,30,1759902033.947072
4,30,1759902034.5253909
0,35,1759902035.0958765
1,35,1759902035.677775
2,35,1759902036.272705
3,35,1759902036.9187622
4,35,1759902037.5618732
0,40,1759902038.2134845
1,40,1759902038.8348374
2,40,1759902039.478336
3,40,1759902040.1184294
4,40,1759902040.7450292
0,45,1759902041.386421
1,45,1759902041.9981644
2,45,1759902042.62553
3,45,1759902043.2493038
4,45,1759902043.8836005
0,50,1759902044.5164428
1,50,1759902045.1543953
2,50,1759902045.7979946
3,50,1759902046.4320009
4,50,1759902047.0641084
0,55,1759902047.7084537
1,55,1759902048.3698654
2,55,1759902049.034947
3,55,1759902049.7133532
4,55,1759902050.3797052
0,60,1759902051.0464737
1,60,1759902051.7364883
2,60,1759902052.4509454
3,60,1759902053.136961
4,60,1759902053.831039
