0,0,1759902166.9499888
1,0,1759902167.4921367
2,0,1759902168.0302694
3,0,1759902168.5656927
4,0,1759902169.1027427
0,5,1759902169.6376278
1,5,1759902170.1746767
2,5,1759902170.7346947
3,5,1759902171.2668183
4,5,1759902171.795335
0,10,1759902172.3327792
1,10,1759902172.8596582
2,10,1759902173.3915505
3,10,1759902173.9231632
4,10,1759902174.4546072
0,15,1759902174.9807317
1,15,1759902175.510865
2,15,1759902176.0442555
3,15,1759902176.586272
4,15,1759902177.131216
0,20,1759902177.6626391
1,20,1759902178.1944017
2,20,1759902178.726702
3,20,1759902179.4962378
4,20,1759902180.0369058
0,25,1759902180.572776
1,25,1759902181.1060941
2,25,1759902181.640239
3,25,1759902182.2068799
4,25,1759902182.7602499
0,30,1759902183.3007803
1,30,1759902183.8548837
2,30,1759902184.4195883
3,30,1759902184.9527678
4,30,1759902185.5116963
0,35,1759902186.0592437
1,35,1759902186.6028962
2,35,1759902187.1488035
3,35,1759902187.69225
4,35,1759902188.2316449
0,40,1759902188.7752807
1,40,1759902189.31267
2,40,1759902189.8557527
3,40,1759902190.4032056
4,40,1759902190.9410295
0,45,1759902191.497146
1,45,1759902192.042833
2,45,1759902192.59094
3,45,1759902193.1294377
4,45,1759902193.6674943
0,50,1759902194.2011044
1,50,1759902194.7376707
2,50,1759902195.2769575
3,50,1759902195.8160884
4,50,1759902196.349919
0,55,1759902196.8880773
1,55,1759902197.4393342
2,55,1759902197.9845228
3,55,1759902198.540547
4,55,1759902199.0774245
0,60,1759902199.617509
1,60,1759902200.1561637
2,60,1759902200.706504
3,60,1759902201.2431662
4,60,1759902201.7751038
